keyword,color
if,#C678DD
else,#C678DD
switch,#C678DD
case,#C678DD
default,#C678DD
break,#C678DD
continue,#C678DD
for,#C678DD
while,#C678DD
do,#C678DD
goto,#C678DD
return,#C678DD
try,#C678DD
catch,#C678DD
throw,#C678DD
co_return,#C678DD
co_await,#C678DD
co_yield,#C678DD
auto,#61AFEF
bool,#61AFEF
char,#61AFEF
char8_t,#61AFEF
char16_t,#61AFEF
char32_t,#61AFEF
class,#61AFEF
concept,#61AFEF
const,#61AFEF
consteval,#61AFEF
constexpr,#61AFEF
constinit,#61AFEF
decltype,#61AFEF
double,#61AFEF
enum,#61AFEF
explicit,#61AFEF
export,#61AFEF
extern,#61AFEF
false,#61AFEF
float,#61AFEF
friend,#61AFEF
inline,#61AFEF
int,#61AFEF
long,#61AFEF
mutable,#61AFEF
namespace,#61AFEF
operator,#61AFEF
override,#61AFEF
private,#61AFEF
protected,#61AFEF
public,#61AFEF
requires,#61AFEF
short,#61AFEF
signed,#61AFEF
sizeof,#61AFEF
static,#61AFEF
struct,#61AFEF
template,#61AFEF
this,#61AFEF
thread_local,#61AFEF
typename,#61AFEF
union,#61AFEF
unsigned,#61AFEF
using,#61AFEF
virtual,#61AFEF
void,#61AFEF
volatile,#61AFEF
wchar_t,#61AFEF
final,#61AFEF
noexcept,#61AFEF
nullptr,#E06C75
new,#E06C75
delete,#E06C75
true,#E06C75
dynamic_cast,#E5C07B
static_cast,#E5C07B
reinterpret_cast,#E5C07B
const_cast,#E5C07B
typeid,#E5C07B
alignas,#56B6C2
alignof,#56B6C2
and,#98C379
and_eq,#98C379
bitand,#98C379
bitor,#98C379
compl,#98C379
not,#98C379
not_eq,#98C379
or,#98C379
or_eq,#98C379
xor,#98C379
xor_eq,#98C379
static_assert,#ABB2BF
