keyword,color
boolean, green
byte, green
char, green
double, green
float, green
int, green
long, green
short, green
void, green
null, green
break, blue
case, blue
catch, blue
continue, blue
default, blue
do, blue
else, blue
for, blue
if, blue
switch, blue
while, blue
try, blue
abstract, cyan
final, cyan
native, cyan
private, cyan
protected, cyan
public, cyan
static, cyan
synchronized, cyan
transient, cyan
volatile, cyan
class, magenta
enum, magenta
implements, magenta
interface, magenta
extends, magenta
new, magenta
this, magenta
super, magenta
throw, red
throws, red
try, red
finally, red
assert, red
import, yellow
package, yellow
const, yellow
goto, yellow
instanceOf, yellow
strictfp, yellow
return, yellow
null, yellow
